Data,Hora,Abertura,Máxima,Mínima,Última,Negócios,Volume
21/02/2020,10:29:00,113545,113560,113525,113545,2022,6457
21/02/2020,10:30:00,113545,113555,113520,113530,2042,7049
21/02/2020,10:31:00,113535,113540,113415,113510,11315,38658
21/02/2020,10:32:00,113505,113510,113440,113450,4239,15129
21/02/2020,10:33:00,113445,113490,113345,113345,12613,52906
21/02/2020,10:34:00,113345,113435,113340,113385,7835,28277
21/02/2020,10:35:00,113390,113420,113375,113415,3158,10476
21/02/2020,10:36:00,113415,113500,113380,113490,8046,26686
21/02/2020,10:37:00,113485,113535,113475,113510,6078,21804
21/02/2020,10:38:00,113510,113580,113495,113570,5958,22201
21/02/2020,10:39:00,113575,113660,113550,113655,9850,37278
21/02/2020,10:40:00,113660,113705,113610,113670,13662,46919
21/02/2020,10:41:00,113675,113725,113630,113650,7134,24397
21/02/2020,10:42:00,113655,113735,113650,113690,5564,20167
21/02/2020,10:43:00,113690,113690,113645,113660,3505,11913
21/02/2020,10:44:00,113660,113695,113640,113660,2648,9294
21/02/2020,10:45:00,113660,113695,113570,113605,7336,24618
21/02/2020,10:46:00,113605,113640,113545,113560,6735,23585
21/02/2020,10:47:00,113565,113565,113505,113530,6919,24707
21/02/2020,10:48:00,113535,113555,113465,113495,6568,22515
21/02/2020,10:49:00,113490,113645,113470,113595,10912,36767
21/02/2020,10:50:00,113595,113635,113570,113625,4203,14670
21/02/2020,10:51:00,113620,113660,113605,113630,4240,15430
21/02/2020,10:52:00,113630,113670,113610,113650,3702,13818
21/02/2020,10:53:00,113650,113685,113600,113680,3863,12139
21/02/2020,10:54:00,113685,113730,113640,113670,7733,26306
21/02/2020,10:55:00,113675,113705,113650,113675,3143,10764
21/02/2020,10:56:00,113675,113680,113590,113655,5616,18623
21/02/2020,10:57:00,113660,113670,113630,113650,1992,7150
21/02/2020,10:58:00,113645,113650,113560,113600,5328,17912
21/02/2020,10:59:00,113595,113630,113565,113620,2795,9529
21/02/2020,11:00:00,113615,113655,113600,113615,3406,11417
21/02/2020,11:01:00,113615,113665,113615,113645,2198,8097
21/02/2020,11:02:00,113645,113650,113560,113600,4480,15693
21/02/2020,11:03:00,113600,113600,113415,113455,12877,41054
21/02/2020,11:04:00,113455,113500,113370,113490,13138,42599
21/02/2020,11:05:00,113490,113510,113455,113470,5281,16503
21/02/2020,11:06:00,113465,113470,113420,113450,5499,18955
21/02/2020,11:07:00,113450,113480,113450,113465,2628,8711
21/02/2020,11:08:00,113465,113490,113455,113480,1587,4682
21/02/2020,11:09:00,113475,113550,113470,113535,6760,21733
21/02/2020,11:10:00,113530,113560,113505,113545,4042,12705
21/02/2020,11:11:00,113550,113560,113525,113550,2233,7641
21/02/2020,11:12:00,113550,113590,113510,113515,4946,15943
21/02/2020,11:13:00,113520,113540,113465,113490,5455,18441
21/02/2020,11:14:00,113490,113500,113450,113490,3054,11590
21/02/2020,11:15:00,113490,113500,113470,113480,1941,7137
21/02/2020,11:16:00,113485,113560,113470,113530,4599,16337
21/02/2020,11:17:00,113530,113550,113500,113500,2344,8397
21/02/2020,11:18:00,113500,113555,113500,113525,1581,5412
21/02/2020,11:19:00,113520,113625,113510,113615,4622,16538
21/02/2020,11:20:00,113615,113640,113585,113600,6168,24004
21/02/2020,11:21:00,113600,113640,113595,113615,2965,11612
21/02/2020,11:22:00,113615,113635,113555,113620,4332,15839
21/02/2020,11:23:00,113620,113625,113595,113610,1195,3571
21/02/2020,11:24:00,113615,113620,113540,113555,4556,15921
21/02/2020,11:25:00,113560,113600,113525,113595,3422,11429
21/02/2020,11:26:00,113590,113610,113560,113570,2065,6873
21/02/2020,11:27:00,113570,113570,113510,113525,3842,12905
21/02/2020,11:28:00,113530,113550,113500,113535,3363,10878
21/02/2020,11:29:00,113535,113540,113480,113505,4008,14563
21/02/2020,11:30:00,113505,113600,113495,113525,8454,29175
21/02/2020,11:31:00,113525,113570,113480,113555,5413,19441
21/02/2020,11:32:00,113550,113620,113500,113585,6204,21624
21/02/2020,11:33:00,113585,113620,113505,113530,5231,17105
21/02/2020,11:34:00,113530,113570,113460,113525,8603,31871
21/02/2020,11:35:00,113520,113520,113260,113365,28374,109149
21/02/2020,11:36:00,113365,113480,113355,113430,10168,33452
21/02/2020,11:37:00,113435,113445,113385,113395,4302,14258
21/02/2020,11:38:00,113390,113465,113385,113445,3797,12949
21/02/2020,11:39:00,113445,113475,113390,113400,4302,15441
21/02/2020,11:40:00,113400,113455,113320,113420,9895,34178
21/02/2020,11:41:00,113420,113420,113350,113385,4538,17066
21/02/2020,11:42:00,113380,113405,113335,113385,3414,12724
21/02/2020,11:43:00,113385,113450,113380,113440,2904,11903
21/02/2020,11:44:00,113445,113445,113395,113435,2197,7740
21/02/2020,11:45:00,113435,113435,113180,113220,21421,87374
21/02/2020,11:46:00,113220,113350,113190,113305,12548,46457
21/02/2020,11:47:00,113305,113340,113265,113330,6607,22570
21/02/2020,11:48:00,113330,113390,113310,113360,7308,24369
21/02/2020,11:49:00,113365,113370,113270,113300,6708,21486
21/02/2020,11:50:00,113300,113490,113295,113440,11826,38041
21/02/2020,11:51:00,113440,113475,113360,113405,8153,27034
21/02/2020,11:52:00,113405,113435,113365,113380,4275,15523
21/02/2020,11:53:00,113380,113515,113365,113500,6754,24053
21/02/2020,11:54:00,113500,113525,113455,113505,7315,27441
21/02/2020,11:55:00,113505,113575,113430,113575,9227,31947
21/02/2020,11:56:00,113575,113640,113545,113610,10731,41811
21/02/2020,11:57:00,113610,113670,113575,113630,8326,28496
21/02/2020,11:58:00,113635,113640,113545,113615,5397,19024
21/02/2020,11:59:00,113615,113655,113570,113595,5096,18783
21/02/2020,12:00:00,113600,113690,113590,113650,7182,25550
21/02/2020,12:01:00,113650,113665,113545,113640,7963,28601
21/02/2020,12:02:00,113640,113660,113565,113605,5302,18949
21/02/2020,12:03:00,113605,113620,113555,113590,3752,13640
21/02/2020,12:04:00,113590,113700,113560,113685,8182,29504
21/02/2020,12:05:00,113680,113785,113655,113775,11901,41503
21/02/2020,12:06:00,113775,113815,113765,113800,8637,33593
21/02/2020,12:07:00,113800,113870,113795,113840,9130,34468
21/02/2020,12:08:00,113840,113845,113760,113790,6641,23257
21/02/2020,12:09:00,113790,113800,113690,113710,8862,34268
21/02/2020,12:10:00,113715,113715,113535,113540,14423,51535
21/02/2020,12:11:00,113540,113690,113535,113630,9353,36390
21/02/2020,12:12:00,113630,113635,113570,113595,4408,16220
21/02/2020,12:13:00,113590,113640,113535,113555,4883,17569
21/02/2020,12:14:00,113555,113675,113535,113565,7408,26039
21/02/2020,12:15:00,113570,113605,113505,113595,8315,30173
21/02/2020,12:16:00,113600,113675,113590,113655,6690,24638
21/02/2020,12:17:00,113650,113775,113645,113745,9660,33467
21/02/2020,12:18:00,113750,113835,113740,113790,10222,39325
21/02/2020,12:19:00,113790,113830,113770,113825,3721,13869
21/02/2020,12:20:00,113825,113850,113760,113820,7403,25992
21/02/2020,12:21:00,113815,113865,113775,113860,5451,20923
21/02/2020,12:22:00,113860,113930,113850,113875,10443,39631
21/02/2020,12:23:00,113875,113900,113830,113845,5154,19501
21/02/2020,12:24:00,113850,113895,113840,113870,3140,11780
21/02/2020,12:25:00,113870,113880,113755,113765,7869,30367
21/02/2020,12:26:00,113770,113795,113735,113750,4470,16329
21/02/2020,12:27:00,113750,113790,113710,113730,4145,14783
21/02/2020,12:28:00,113735,113740,113650,113655,6332,24773
21/02/2020,12:29:00,113650,113695,113635,113670,3938,14841
21/02/2020,12:30:00,113670,113690,113650,113680,3157,11836
21/02/2020,12:31:00,113680,113685,113575,113625,7628,26799
21/02/2020,12:32:00,113625,113660,113600,113620,3546,11257
21/02/2020,12:33:00,113620,113670,113600,113625,3669,14123
21/02/2020,12:34:00,113620,113655,113590,113630,2761,10606
21/02/2020,12:35:00,113635,113690,113625,113665,3884,16121
21/02/2020,12:36:00,113670,113725,113640,113705,4650,16849
