Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
21/02/2020,09:00:00,114400,114510,114125,114140,58954,238928
21/02/2020,09:10:00,114135,114220,113940,114020,59778,211889
21/02/2020,09:20:00,114020,114185,113990,114175,34646,121716
21/02/2020,09:30:00,114175,114240,114110,114175,42977,155629
21/02/2020,09:40:00,114170,114260,114110,114205,41275,154314
21/02/2020,09:50:00,114205,114260,113905,114065,61627,218512
21/02/2020,10:00:00,114065,114070,113795,113825,83516,268165
21/02/2020,10:10:00,113830,113925,113535,113580,99452,336360
21/02/2020,10:20:00,113580,113600,113430,113545,60806,209720
21/02/2020,10:30:00,113545,113660,113340,113655,71134,260464
21/02/2020,10:40:00,113660,113735,113465,113595,70983,244882
21/02/2020,10:50:00,113595,113730,113560,113620,42615,146341
21/02/2020,11:00:00,113615,113665,113370,113535,57854,189444
21/02/2020,11:10:00,113530,113625,113450,113615,34817,120141
21/02/2020,11:20:00,113615,113640,113480,113505,35916,127595
21/02/2020,11:30:00,113505,113620,113260,113400,84848,304465
21/02/2020,11:40:00,113400,113455,113180,113300,77540,285867
21/02/2020,11:50:00,113300,113670,113295,113595,77100,272153
21/02/2020,12:00:00,113600,113870,113545,113710,77552,283333
21/02/2020,12:10:00,113715,113835,113505,113825,79083,289225
21/02/2020,12:20:00,113825,113930,113635,113670,58345,218920
21/02/2020,12:30:00,113670,113840,113575,113765,47639,172509
21/02/2020,12:40:00,113765,113815,113630,113765,41416,150982
21/02/2020,12:50:00,113765,113945,113725,113825,42951,165133
21/02/2020,13:00:00,113820,114060,113740,113970,51006,203503
21/02/2020,13:10:00,113970,114115,113925,114095,35624,139352
21/02/2020,13:20:00,114090,114195,114040,114085,41246,163704
21/02/2020,13:30:00,114085,114260,114080,114170,39600,159825
21/02/2020,13:40:00,114175,114230,113975,114010,42075,160548
21/02/2020,13:50:00,114010,114130,113955,114035,40711,158235
21/02/2020,14:00:00,114035,114215,114025,114115,37658,143322
21/02/2020,14:10:00,114115,114205,114070,114115,28011,103739
21/02/2020,14:20:00,114115,114155,114040,114110,26012,103735
21/02/2020,14:30:00,114105,114150,113940,114055,37349,143806
21/02/2020,14:40:00,114055,114240,114050,114125,43761,173084
21/02/2020,14:50:00,114130,114195,114035,114115,33164,134508
21/02/2020,15:00:00,114110,114175,113955,113965,34189,133934
21/02/2020,15:10:00,113960,114020,113665,113740,60239,235451
21/02/2020,15:20:00,113740,113915,113720,113795,44366,163903
21/02/2020,15:30:00,113795,113820,113535,113605,57270,213495
21/02/2020,15:40:00,113605,113675,113545,113575,29239,112032
21/02/2020,15:50:00,113575,113635,113460,113555,39939,153064
21/02/2020,16:00:00,113560,113610,113495,113580,23392,92238
21/02/2020,16:10:00,113575,113730,113510,113730,39002,157351
21/02/2020,16:20:00,113730,113825,113635,113780,39732,155842
21/02/2020,16:30:00,113780,113845,113690,113720,26319,105259
21/02/2020,16:40:00,113720,113810,113645,113690,28610,118206
21/02/2020,16:50:00,113690,113735,113560,113620,31720,134060
21/02/2020,17:00:00,113620,113675,113585,113620,19265,81095
21/02/2020,17:10:00,113620,113645,113505,113555,22001,92648
21/02/2020,17:20:00,113555,113850,113520,113805,41225,177259
21/02/2020,17:30:00,113805,114010,113710,113855,55065,233224
21/02/2020,17:40:00,113850,113945,113610,113655,34227,143386
21/02/2020,17:50:00,113650,113950,113645,113880,34983,144848
21/02/2020,18:00:00,113885,114340,113850,114185,19809,95324
21/02/2020,18:10:00,114275,114275,114275,114275,773,7396
