Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
18/02/2020,14:30:00,114390,114520,114375,114510,27229,103364
18/02/2020,14:40:00,114510,114525,114420,114465,26043,99826
18/02/2020,14:50:00,114470,114580,114445,114550,25292,98599
18/02/2020,15:00:00,114550,114690,114510,114590,38038,150892
18/02/2020,15:10:00,114590,114635,114525,114575,24567,100731
18/02/2020,15:20:00,114580,114585,114455,114470,29365,112779
18/02/2020,15:30:00,114475,114520,114325,114385,36200,142923
18/02/2020,15:40:00,114385,114455,114325,114420,25314,95842
18/02/2020,15:50:00,114420,114480,114335,114470,27212,105857
18/02/2020,16:00:00,114470,114580,114450,114520,33927,134090
18/02/2020,16:10:00,114525,114790,114510,114770,44457,186906
18/02/2020,16:20:00,114775,114930,114735,114910,47846,208808
18/02/2020,16:30:00,114905,115125,114850,115125,53432,237635
18/02/2020,16:40:00,115120,115145,114985,115100,41520,183531
18/02/2020,16:50:00,115100,115195,115075,115170,28619,121638
18/02/2020,17:00:00,115175,115370,115110,115290,39528,184856
18/02/2020,17:10:00,115295,115315,115215,115225,19292,85917
18/02/2020,17:20:00,115225,115320,115215,115275,17507,76081
18/02/2020,17:30:00,115275,115295,115110,115290,32220,145464
18/02/2020,17:40:00,115290,115330,115195,115215,22912,107113
18/02/2020,17:50:00,115220,115485,115195,115460,27418,127810
18/02/2020,18:00:00,115465,115720,115425,115655,16074,74784
18/02/2020,18:10:00,115760,115760,115760,115760,847,8122
19/02/2020,09:00:00,115950,116100,115605,115690,54032,219253
19/02/2020,09:10:00,115690,115700,115455,115475,42901,160365
19/02/2020,09:20:00,115470,115505,115390,115440,34656,133804
19/02/2020,09:30:00,115440,115530,115410,115475,33934,132071
19/02/2020,09:40:00,115475,115520,115385,115480,37746,141942
19/02/2020,09:50:00,115475,115665,115455,115580,50281,179991
19/02/2020,10:00:00,115580,115580,115280,115425,92284,343853
19/02/2020,10:10:00,115425,115775,115385,115775,82593,318011
19/02/2020,10:20:00,115770,116180,115725,116125,109822,434772
19/02/2020,10:30:00,116120,116230,115860,115890,69569,251442
19/02/2020,10:40:00,115885,116020,115840,115900,49668,176664
19/02/2020,10:50:00,115895,116250,115880,116230,62340,237192
19/02/2020,11:00:00,116230,116545,116190,116410,78835,304345
19/02/2020,11:10:00,116410,116610,116385,116565,47129,195515
19/02/2020,11:20:00,116570,116635,116430,116500,48872,193811
19/02/2020,11:30:00,116505,116695,116430,116645,83472,346058
19/02/2020,11:40:00,116640,116755,116545,116750,55066,242402
19/02/2020,11:50:00,116745,116785,116530,116620,54143,230483
19/02/2020,12:00:00,116615,116720,116570,116710,37488,153435
19/02/2020,12:10:00,116705,116765,116540,116655,45409,179748
19/02/2020,12:20:00,116655,116750,116595,116620,30777,122123
19/02/2020,12:30:00,116625,116700,116600,116635,22424,99095
19/02/2020,12:40:00,116635,116795,116500,116770,46949,200448
19/02/2020,12:50:00,116765,116885,116685,116870,44932,186021
19/02/2020,13:00:00,116875,117015,116815,116975,43742,182974
19/02/2020,13:10:00,116970,117025,116795,116855,36585,146603
19/02/2020,13:20:00,116855,116950,116835,116935,27081,105861
19/02/2020,13:30:00,116940,117000,116835,116915,34063,146026
19/02/2020,13:40:00,116910,116935,116855,116910,13663,56258
19/02/2020,13:50:00,116905,117035,116865,116985,43853,188797
19/02/2020,14:00:00,116980,116990,116855,116870,22580,93357
19/02/2020,14:10:00,116875,116940,116855,116915,16194,68928
19/02/2020,14:20:00,116915,116920,116630,116685,54207,217008
19/02/2020,14:30:00,116690,116835,116660,116780,33341,133536
19/02/2020,14:40:00,116785,116835,116700,116805,29094,112190
19/02/2020,14:50:00,116805,116825,116710,116785,24746,99026
19/02/2020,15:00:00,116785,116830,116640,116710,32242,132479
19/02/2020,15:10:00,116705,116715,116505,116575,51752,209150
19/02/2020,15:20:00,116570,116640,116555,116605,20179,80616
19/02/2020,15:30:00,116600,116615,116560,116595,14046,55620
19/02/2020,15:40:00,116590,116690,116580,116660,28230,112676
19/02/2020,15:50:00,116660,116765,116560,116645,37242,140531
19/02/2020,16:00:00,116645,116745,116540,116710,40263,160339
19/02/2020,16:10:00,116710,116900,116675,116760,47338,191604
19/02/2020,16:20:00,116760,116795,116710,116745,18715,67514
19/02/2020,16:30:00,116745,116940,116690,116940,35622,138747
19/02/2020,16:40:00,116940,117180,116890,117140,62031,259964
19/02/2020,16:50:00,117140,117195,116955,117015,44183,181023
19/02/2020,17:00:00,117015,117125,116960,116990,31466,129589
19/02/2020,17:10:00,116985,116995,116795,116970,41871,170229
19/02/2020,17:20:00,116970,117115,116960,117015,30067,126591
19/02/2020,17:30:00,117015,117180,116995,117150,39388,168493
19/02/2020,17:40:00,117150,117190,117060,117090,21271,95717
19/02/2020,17:50:00,117090,117220,116970,117160,32797,145227
19/02/2020,18:00:00,117160,117205,117030,117070,10922,54837
19/02/2020,18:10:00,116980,116980,116980,116980,988,10673
20/02/2020,09:00:00,116720,116975,116645,116800,52439,202285
20/02/2020,09:10:00,116800,116820,116660,116745,38296,130310
20/02/2020,09:20:00,116740,116835,116725,116775,22075,77618
20/02/2020,09:30:00,116770,116865,116750,116815,25810,89109
20/02/2020,09:40:00,116820,116910,116805,116855,31023,106844
20/02/2020,09:50:00,116850,117125,116775,117105,86397,291190
20/02/2020,10:00:00,117110,117180,116935,117055,82011,273668
20/02/2020,10:10:00,117055,117170,116565,116690,136365,477389
20/02/2020,10:20:00,116690,116695,116315,116400,91406,321777
20/02/2020,10:30:00,116400,116610,116220,116320,94985,323304
20/02/2020,10:40:00,116325,116565,116230,116520,64312,240070
20/02/2020,10:50:00,116515,116600,116380,116500,59982,224658
20/02/2020,11:00:00,116500,116820,116445,116560,74702,277415
20/02/2020,11:10:00,116565,116585,116320,116365,50983,184841
20/02/2020,11:20:00,116370,116525,116260,116460,51835,181724
20/02/2020,11:30:00,116460,116540,116270,116500,69247,257754
20/02/2020,11:40:00,116500,116705,116435,116460,66572,265575
20/02/2020,11:50:00,116460,116870,116450,116805,84342,336917
20/02/2020,12:00:00,116800,116900,116540,116580,69876,271871
20/02/2020,12:10:00,116575,116625,116375,116435,49005,202026
20/02/2020,12:20:00,116430,116490,116325,116475,35634,155037
20/02/2020,12:30:00,116480,116540,116165,116260,75108,312044
20/02/2020,12:40:00,116260,116285,115845,116040,85315,354011
20/02/2020,12:50:00,116045,116070,115915,115955,36775,159411
20/02/2020,13:00:00,115950,116025,115865,115885,36270,148964
20/02/2020,13:10:00,115890,115925,115575,115770,79377,323098
20/02/2020,13:20:00,115765,115810,115465,115470,58544,237335
20/02/2020,13:30:00,115470,115585,115210,115465,105792,438760
20/02/2020,13:40:00,115460,115535,115350,115410,42572,184760
20/02/2020,13:50:00,115410,115625,115380,115460,47934,208392
20/02/2020,14:00:00,115465,115475,115030,115045,63246,273644
20/02/2020,14:10:00,115045,115415,115025,115375,49901,213557
20/02/2020,14:20:00,115375,115410,115200,115260,35883,150618
20/02/2020,14:30:00,115260,115360,115200,115300,33527,145477
20/02/2020,14:40:00,115300,115350,114965,115050,62965,269948
20/02/2020,14:50:00,115045,115150,114925,115065,57185,233433
20/02/2020,15:00:00,115070,115270,114980,115255,43979,180890
20/02/2020,15:10:00,115260,115405,115090,115155,56513,230931
20/02/2020,15:20:00,115155,115215,115060,115140,34071,143129
20/02/2020,15:30:00,115145,115200,114950,115085,46548,202503
20/02/2020,15:40:00,115085,115225,114995,115175,33447,139454
20/02/2020,15:50:00,115175,115250,115110,115150,29768,123456
20/02/2020,16:00:00,115150,115450,115150,115360,44552,183846
20/02/2020,16:10:00,115360,115480,115255,115335,43131,175187
20/02/2020,16:20:00,115335,115510,115285,115490,40854,165703
